1,252,210
2,302,218
3,334,234
4,334,250
5,334,218
6,180,206
7,252,194
8,302,202
9,334,202
10,334,186
11,196,206
26,318,218
27,350,218
30,40,40
31,72,40
33,136,40
34,168,40
36,40,80
37,72,80
38,104,80
39,136,80
43,72,120
44,104,120
154,40,40
100,200,200
101,248,200
102,296,200
103,344,184
104,344,168
105,344,200
106,200,216
107,248,216
108,296,216
109,344,216
110,344,232
117,360,184
118,328,184
120,328,200
130,80,80
131,96,80
132,112,80
133,128,80
134,144,80
135,160,80
136,176,80
137,192,80
138,80,96
139,96,96
144,328,232
241,72,60
195,376,248
179,72,60
161,100,24
162,24,24
169,24,120
171,80,340
166,240,240
165,240,240
164,240,240
191,48,364
163,240,240
200,248,248
201,200,296
202,344,344
203,216,392
204,200,392
205,232,392
206,248,264
207,200,312
208,344,360
209,248,392
210,264,392
220,232,360
230,80,80
231,96,80
232,112,80
234,144,80
235,160,80
236,176,80
237,192,80
156,40,40
238,80,96
160,240,240
168,24,88
111,232,200
112,264,200
113,248,184
114,264,184
115,232,184
150,232,232
151,264,232
192,232,216
193,264,216
194,248,232
12,196,222
307,32,380
28,184,190
72,212,206
73,200,190
85,180,222
86,164,206
177,376,48
173,160,340
197,40,40
199,48,348
172,128,340
295,248,248
294,248,232
296,248,264
297,248,280
298,64,64
299,64,80
19,350,186
18,318,186
176,360,48
174,192,340
175,360,16
51,104,120
178,80,56
198,320,376
410,16,16
155,40,40
71,236,194
13,236,210
14,268,194
15,252,226
25,268,210
70,252,178
74,236,178
83,236,226
84,268,226
16,318,202
17,350,202
20,350,250
21,318,250
77,318,234
78,350,234
142,328,216
143,360,216
127,360,200
147,360,168
276,200,408
219,216,408
279,232,408
292,248,408
278,264,408
277,264,376
291,248,376
290,232,376
218,216,376
275,200,376
245,216,360
249,248,360
246,216,344
247,232,344
248,248,344
153,40,40
61,334,250
62,334,186
152,40,40
411,40,40
412,56,56
261,360,376
159,40,40
190,16,380
158,40,40
157,40,40
167,24,56
32,72,40
293,248,216
262,384,376
263,384,8
264,384,24
265,384,40
266,384,56
52,104,120
42,72,120
41,40,120
170,8,150
67,240,250
68,240,186
69,200,200
22,286,202
23,286,186
24,302,186
75,286,218
76,302,234
79,286,234
82,268,187
87,318,202
88,318,218
89,318,186
90,318,234
211,232,248
212,232,232
214,264,232
215,264,248
216,232,264
217,264,264
229,248,280
400,40,40
401,16,16
450,16,16
196,360,248
116,312,200
121,280,200
122,280,184
123,296,184
124,312,184
126,312,216
182,280,216
183,280,232
184,296,323
185,312,232
125,216,200
128,216,216
129,200,232
180,184,200
181,184,216
145,360,232
146,328,168
186,312,200
187,312,216
188,312,184
301,32,348
302,64,348
303,64,364
304,32,364
305,64,380
306,48,380
233,16,16
213,248,232
221,200,280
222,328,344
223,360,344
224,344,328
225,216,280
226,184,280
227,216,296
228,184,296
280,184,312
281,184,328
282,200,328
283,216,328
284,216,312
285,328,360
286,328,376
287,344,376
288,360,376
289,360,360
250,56,56
242,72,60
243,72,60
244,72,60
260,336,376
50,72,120
60,200,200
63,216,216
64,232,232
65,300,300
66,264,264
45,200,80
